iata,icao,airline
,IMT,Imtrec Aviation
DH,IDE,Independence Air
,IDP,Independent Air Freighters
I7,IOA,IndiaOne Air
6E,IGO,IndiGo
,IIL,India International Airways
,IFC,Indian Air Force
,IDR,Indicator Company
I9,IBU,Indigo Airlines
VP,AXC,Indochina Airlines
,IDA,Indonesia Air Transport
QZ,AWQ,Indonesia AirAsia
IO,IAA,Indonesian Airlines
,IPN,Industri Pesawat Terbang Nusantara
,ITN,Industrias Titan
,FFI,Infinit Air
,INS,Inflite The Jet Centre
,IVA,Innotech Aviation
,INC,Insel Air International
,ICC,Institut Cartogràfic de Catalunya
,INT,Intair
,INL,Intal Avia
,XRA,Intensive Air
,ITW,Inter Air
,INX,Inter Express
,IIC,Inter Island Air Charter
H4,IIN,Inter Island Airways
,CAR,Inter RCA
,NTT,Inter Tropic Airlines
,TCU,Inter Tropical Aviation
,ITA,Inter-Air
,UGL,Inter-Island Air
,IMA,Inter-Mountain Airways
,ITS,Inter-State Aviation
D6,ILN,Interair South Africa
,NTE,Interaire
,IVT,Interaviatrans
JY,IWY,InterCaribbean Airways
RS,ICT,Intercontinental de Aviación
,ICP,Intercopters
,IFT,Interflight
,IJT,Interflight (Learjet)
,RFL,Interfly
,IFF,Interfreight Forwarding
,IGN,Interguide Air
,ISN,Interisland Airlines
4O,AIJ,Interjet
,IHE,Interjet Helicopters
,IJW,Interjet Inc.
ID,ITK,Interlink Airlines
,IAK,International Air Cargo Corporation
,EXX,International Air Corporation
N/A,NCC,"T3 Aviation, Inc."
,IAX,International Air Services
,IBY,International Business Aircraft
,ICS,International Charter Services
,ICX,International Charter Xpress
,RED,International Committee of the Red Cross
,IIG,"International Company for Transport, Trade and Public Works"
,IFX,International Flight Training Academy
,IJA,International Jet Aviation Services
,HSP,International Jet Charter
,THN,International Security Assistance Force
,RSQ,International SOS Windhoek
,ISF,International Stabilisation Assistance Force
,ITH,International Trans-Air
,IPT,Interport Corporation
,IKY,Intersky Bulgary
3L,ISK,Intersky
I4,FWA,Interstate Airlines
,ITU,Intervuelos
,INV,Inversija
,IND,Iona National Airways
IR,IRA,Iran Air
EP,IRC,Iran Aseman Airlines
B9,IRB,Iran Airtour
,IRG,Iranian Naft Airlines
IA,IAW,Iraqi Airways
,BIS,Irbis Air
,IRL,Irish Air Corps
,RDK,Irish Air Transport
,XMR,Irish Aviation Authority
IH,MZA,Irtysh Air
,KCE,Irving Oil
,ISI,Island Air
,ILF,Island Air Charters
,XYZ,Island Air Express
,ISA,Island Airlines
,SOY,Island Aviation
,DQA,Island Aviation Services
,IOM,Island Aviation and Travel
2S,SDY,Island Express
,MTP,Island Helicopters
,ILC,ILAS Air
,IAJ,Islandair Jersey
,ICB,Icebird Airline
IF,ISW,Islas Airways
,IGS,Isle Grande Flying School
WC,ISV,Islena De Inversiones
,IOS,Isles of Scilly Skybus
,IAI,Israel Aircraft Industries
,IAF,Israeli Air Force
6H,ISR,Israir
,IST,Istanbul Airlines
AZ,ITY,ITA Airways
FS,ACL,Itali Airlines
,IAM,Italian Air Force
,IEI,Italian Army
,GCI,Italian Coast Guard
,MMI,Italian Navy
,IFS,Italy First
GI,IKA,Itek Air
,IVS,Ivoire Aero Services
,IVW,Ivoire Airways
,IJE,Ivoire Jet Express
,OIC,Iwamoto Crane Co Ltd
,IXR,Ixair
H9,IZM,Izair
,IZA,Izhavia
,JTN,
,JGJ,Jinggong Jet
,JNY,Journey Aviation
,JKR,Justice Air Charter
,JWD,Jayawijaya Dirgantara
,JCB,JCB (heavy equipment manufacturer)
,RFX,J P Hunt Air Carriers
JC,JEX,JAL Express
JO,JAZ,JALways
,JDA,JDAviation
,JDP,JDP Lux
,JHM,JHM Cargo Expreso
,TQM,JM Family Aviation
MT,JMC,JMC Airlines
,JSJ,JS Air
,JES,JS Aviation
,JCK,Jackson Air Services
JI,JAE,Jade Cargo International
,JAW,Jamahiriya Airways
,JMB,Jambo Africa Airlines
,WWW,Janet
,FJX,Jet Sky Cargo and Air Charter
,JAK,Jana-Arka
,JAX,Janair
3X,JAC,Japan Air Commuter
,JSV,Japan Aircraft Service
JL,JAL,Japan Airlines
EG,JAA,Japan Asia Airways
NU,JTA,Japan Transocean Air
JA,JAT,JetSMART
JZ,JAP,JetSMART Perú
VJ,JTY,Jatayu Airlines
J9,JZR,Jazeera Airways
7C,JJA,Jeju Air
,XLD,Jeppesen Data Plan
,JPN,Jeppesen UK
O2,JEA,OLT Express
,JSI,Jet Air Group
9W,JAI,Jet Airways
,JTX,Jet Aspen Air Lines
PP,PJS,Jet Aviation
,BZF,Jet Aviation Business Jets
,JAS,Jet Aviation Flight Services
,JCF,Jet Center Flight Training
,JCT,Jet Charter
,JCX,Jet Connection
,DWW,Jet Courier Service
,JED,Jet East International
,JEI,Jet Executive International Charter
,RZA,Jet Fighter Flights
,CFT,Jet Freighters
,JGD,Jet G&D Aviation
,MJL,Jet Line International
,JEK,Jet Link
,HTL,Jet Linx Aviation
,JTL,Jet Linx Aviation
,JNR,Jet Norte
,JRN,Jet Rent
,JDI,Jet Story
3K,JSA,Jetstar Asia Airways
,JSM,Jet Stream
,VTB,Jet Stream Charter KFT.
,JSS,Jet Stream International
,JTF,Jet Time
,JTC,Jet Trans Aviation
,JTT,Jet-2000
,OPS,Jet-Ops
,JSH,Jet-stream
LS,EXS,Jet2.com
,JFU,Jet4You
,OSW,JetAfrica Eswatini
B6,JBU,JetBlue Airways
,JMG,JetMagic
,JMK,Jetmagic
,JAF,Jetairfly
,JAG,Jetalliance
0J,JCS,Jetclub
,QNZ,Jetconnect
,UEJ,Jetcorp
,JCC,Jetcraft Aviation
,JXA,Jetex Aviation
,JEF,Jetflite
,JFL,Jetfly Airlines
,JFA,Jetfly Aviation
,JIC,Jetgo International
,JLX,Jetlink Express
,JLH,Jetlink Holland
,JNL,JetNetherlands
,JNV,Jetnova de Aviación Ejecutiva
,JPO,Jetpro
,MDJ,Jetran Air
,JRI,Jetrider International
,JEJ,Jets Ejecutivos
,JEP,Jets Personales
,JSE,Jets Y Servicios Ejecutivos
SG,JGO,JetsGo
JQ,JST,Jetstar
GK,JJP,Jetstar Japan
JM,JKT,Jetstar Hong Kong Airways
,JXT,Jetstream Executive Travel
,RSP,JetSuite
,JPQ,Jett Paqueteria
JX,JEC,Jett8 Airlines Cargo
JO,JTD,Jettime
,JWY,Jetways of Iowa
GX,JXX,JetX Airlines
,JIB,Jibair
,JSW,Jigsaw Project
,HKN,Jim Hankins Air Service
,RAS,Jim Ratliff Air Service
LJ,JNA,Jin Air
,JDG,Joanas Avialinijos
,JBR,Job Air
,JHN,Johnson Air
,JON,Johnsons Air
,JMJ,Johnston Airways
,JMM,Joint Military Commission
,JMT,Jomartaxi Aereo
,ODI,"Jonsson, H Air Taxi"
R5,JAV,Jordan Aviation
J4,JCI,Jordan International Air Cargo
,JVK,Jorvik
,ENZ,Jota Aviation
,JNJ,Journey Jet
XE,JSX,JSX (airline)
,JUR,Ju-Air
,JFS,Juanda Flying School
,JUC,Juba Cargo Services & Aviation Company
6J,JUB,Jubba Airways
,DKE,Jubilee Airways
,JSY,Jung Sky
,MEY,Justair Scandinavia
,DOJ,Justice Prisoner and Alien Transportation System
,KTA,K2 Airways
,KSA,K S Avia
,KCR,Kolob Canyons Air Services
KW,KHK,Kharkiv Airlines
,KGZ,Kyrgyz Airlines
,KDC,K D Air Corporation
,KMI,K-Mile Air
KD,KLS,Kalstar Aviation
KD,KNI,KD Avia
WA,KLC,KLM Cityhopper
,KLH,KLM Helicopter
KL,KLM,KLM
N2,QNK,Kabo Air
,KMC,Kahama Mining Corporation
KI,KAI,KaiserAir
K4,CKS,Kalitta Air
K9*,KFS,Kalitta Charters
K5*,KII,Kalitta Charters II
,KES,Kallat El Saker Air Company
RQ,KMF,Kam Air
E2,KMP,Kampuchea Airlines
,KIZ,Kanaf-Arkia Airlines
,KHE,Kanfey Ha'emek Aviation
,KSU,Kansas State University
V2,AKT,Karat
,KRB,Karibu Airways Company
,KLG,Karlog Air Charter
,KAJ,Karthago Airlines
,KAE,Kartika Airlines
,KTV,Kata Transportation
,KTK,Katekavia
,KAT,Kato Airline
KV,MVD,Kavminvodyavia
,XKA,Kavouras Inc
,KRN,Kaz Agros Avia
,KAW,Kaz Air West
,KAO,Kazan Aviation Production Association
,KPH,Kazan Helicopters
,KKA,Kazavia
,KZS,Kazaviaspas
3Q,KCH,KC International Airlines
,JFK,Keenair Charter -
,KLX,Kelix Air
,FKL,Kelner Airways
KW,KFA,Kelowna Flightcraft Air Charter
,KDA,Kendell Airlines
M5,KEN,Kenmore Air
,KBA,Kenn Borek Air
,KAH,Kent Aviation
KQ,KQA,Kenya Airways
,KVS,Kevis
ZN,KEY,Key Airlines
KG,LYM,Key Lime Air
,FTP,Keystone Aerial Surveys
BZ,KEE,Keystone Air Service
K6,KZW,Khalifa Airways
,WKH,Kharkov Aircraft Manufacturing Company
,KHR,Khazar
,KHP,Khoezestan Photros Air Lines
,KRV,Khoriv-Avia
"X9
KO",KHO,Khors Aircompany
,KHY,Khyber Afghan Airlines
,UAK,Kiev Aviation Plant
,KNG,King Aviation
,BEZ,Kingfisher Air Services
IT,KFR,Kingfisher Airlines
4I,KNX,Knighthawk Air Express
,KAS,Kingston Air Services
,KIP,Kinnarps
,KNS,Kinshasa Airways
Y9,IRK,Kish Air
KR,KHA,Kitty Hawk Aircargo
2K,KHC,Kitty Hawk Airways
KP,KIA,Kiwi International Air Lines
,KRA,Kiwi Regional Airlines
KY,KNA,Kunming Airlines
,KHX,Knighthawk Express
,KGT,Knights Airlines
,KOA,Koanda Avacion
,OYE,Koda International
7K,KGL,Kogalymavia Air Company
,KOM,Kom Activity
,KMA,Komiaviatrans State Air Enterprise
8J,KMV,Komiinteravia
,KOB,Koob-Corp - 96 KFT
KE,KAL,Korean Air
,KMG,Kosmas Air
,KSM,Kosmos
,KOS,Kosova Airlines
,WOK,Kovar Air
7B,KJC,Krasnojarsky Airlines
,KFC,Kremenchuk Flight College
,KRG,Krimaviamontag
,KRO,Kroonk Air Agency
K9,KRI,Krylo Airlines
,KYM,Krym
,OPC,Krystel Air Charter
GW,KIL,Kuban Airlines
VD,KPA,Kunpeng Airlines
,KZA,Kurzemes Avio
,KBV,Kustbevakningen
KU,KAC,Kuwait Airways
GO,KZU,Kuzu Airlines Cargo
,QVR,Kvadro Aero
,KWN,Kwena Air
,KTC,Kyrgyz Trans Avia
R8,KGA,Kyrgyzstan Airlines
,DAM,Kyrgyzstan Department of Aviation
,KGB,Kyrgz General Aviation
FK,KEW,Keewatin Air
,LZF,Lease Fly
,LHB,Liebherr Geschaeftreiseflugzeug
,LLD,Lloyd Aviation
,LGA,Logistic Air
,LGC,Legacy Air
,JKA,LeTourneau University
,LTY,Liberty Air
,LWL,Lowlevel
,LAX,Laminar Air
YL,LWA,Libyan Wings
YQ,LCT,TAR Aerolineas
,LAH,L A Helicopter
,LJY,L J Aviation
,LRB,L R Airlines
,PHO,L&L Flygbildteknik
,LEX,L'Express Airlines
,FNT,L-3 Communications Flight International Aviation
JF,LAB,L.A.B. Flying Service
LR,LRC,LACSA
,LDE,LADE - Líneas Aéreas Del Estado
KG,BNX,LAI - Línea Aérea IAACA
,LNC,LAN Dominicana
4M,DSM,LATAM Argentina
JJ,TAM,LATAM  Brasil
UC,LCO,LATAM Cargo Chile
LA,LAN,LATAM Chile
XL,LNE,LATAM Airlines Ecuador
LU,LXP,LATAM Express
PZ,LAP,LATAM Paraguay
LP,LPE,LATAM Peru
,LSA,LANSA
,APT,"LAP Colombia - Líneas Aéreas Petroleras, S.A."
,LCB,LC Busre
LO,LOT,LOT Polish Airlines
XO,LTE,LTE International Airways
L3,LTO,LTU Austria
LT,LTU,LTU International
,JFC,LTV Jet Fleet Corporation
,LUK,LUKoil-Avia
,LVT,La Valenciana Taxi Aéreo
,SKQ,Labcorp
,LAL,Labrador Airways
N6,JEV,Lagun Air
,HCA,Lake Havasu Air Service
,LKL,Lakeland Aviation
,LKR,Laker Airways
,LBH,Laker Airways (Bahamas)
,LMR,Lamra
,TCR,Lanaes Aereas Trans Costa Rica
,PAP,Langtry Flying Group
IK,LKN,Lankair
,LZA,Lanza Air
,LZT,Lanzarote Aerocargo
QV,LAO,Lao Airlines
,LKA,Lao Central Airlines
,LLL,Lao Skyway
,LXW,Lanexang Airways International
L7,LPN,Laoag International Airlines
,LRD,Laredo Air
,OTN,LASTP
,LTC,LatCharter
,LAF,Latvian Air Force
NG,LDA,Lauda Air
OE[34],LDM,LaudaMotion
,LDI,Lauda Air Italy
,LSU,Laus
,LAR,Lawrence Aviation
,LAY,Layang-Layang Aerospace
,LPL,Lease-a-Plane International
LQ,LAQ,Lebanese Air Transport
,LAT,Lebanese Air Transport (charter)
,LAD,Lebanon Airport Development Corporation
,LEB,Lebap
,LCA,Leconte Airlines
LI,LIA,Leeward Islands Air Transport
,LGD,Legend Airlines
,LWD,Leisure Air
,LEN,Lentini Aviation
,LOR,Leo-Air
,LEL,Leonsa De Aviación
LL,LVL,Level
,LYW,Libyan Airlines
LN,LAA,Libyan Arab Airlines
,LCR,Libyan Arab Air Cargo
,LIQ,Lid Air
,LTA,LIFT Academy
,LCG,Lignes Aeriennes Congolaises
,LKD,Lignes Aeriennes Du Tchad
,LME,Lignes Mauritaniennes Air Express
,GCB,Lignes Nationales Aeriennes - Linacongo
,GDQ,Lincoln Air National Guard
,LRT,Lincoln Airlines
,LSY,Lindsay Aviation
,NOT,Línea Aérea Costa Norte
,LMC,Línea Aérea Mexicana de Carga
L7,LNP,Línea Aérea SAPSA
,NEG,Línea Aérea de Fumig Aguas Negras
QL,LER,Línea Aérea de Servicio Ejecutivo Regional
,LSE,Línea De Aeroservicios
,TUY,Línea Turística Aereotuy
,ALR,Líneas Aéreas Alaire S.L.
ZE,LCD,Líneas Aéreas Azteca
,LCN,Líneas Aéreas Canedo LAC
,LCM,Líneas Aéreas Comerciales
,EDD,Líneas Aéreas Ejectuivas De Durango
,FED,Líneas Aéreas Federales
,LMN,Líneas Aéreas Monarca
,LIJ,Líneas Aéreas San Jose
,UMA,Líneas Aéreas del Humaya
,LEC,Linex
,SMS,Linhas Aéreas Santomenses
TM,LAM,Linhas Aéreas de Moçambique
,LAW,Link Airways of Australia
,WGT,Volkswagen AirService GmbH
JT,LNI,Lion Air
,LEU,Lions-Air
,LYF,Lithuanian Air Force
,LRA,Little Red Air Service
LM,LVG,Livingston Energy Flight
LB,LLB,Lloyd Aéreo Boliviano
,LNA,Lnair Air Services
,XLG,Lockheed Air Terminal
,LAC,Lockeed Aircraft Corporation
,XDD,Lockheed DUATS
,CBD,Lockheed Martin Aeronautics
,LNG,Lockheed Martin Aeronautics Company
LM,LOG,Loganair
,CLV,Lom Praha Flying School
,LMS,Lomas Helicopters
,LCY,London City Airport Jet Centre
,LNX,London Executive Aviation
,LOV,London Flight Centre (Stansted)
,LHC,London Helicopter Centres
,LSS,Lone Star Airlines
,ORA,Long Island Airlines
GI,LHA,Longhao Airlines
,LGT,Longtail Aviation
GJ,CDC,Loong Air
,LRR,Lorraine Aviation
,LSC,Los Cedros Aviación
,TAS,Lotus Air
,LTW,Luchtvaartmaatschappij Twente
,LKE,Lucky Air
,LUT,Luft Carago
,LVD,Luftfahrt-Vermietungs-Dienst
LH,DLH,Lufthansa
LH,GEC,Lufthansa Cargo
CL,CLH,Lufthansa CityLine
,LHT,Lufthansa Technik
,LTF,Lufttaxi Fluggesellschaft
L5,LTR,Lufttransport
,LHS,Luhansk
,UNY,Lund University School of Aviation
LG,LGL,Luxair
,LXA,Luxaviation
,LUV,Luxembourg Air Rescue
,LFE,Luxflight Executive
,LXO,Luxor Air
,LUZ,Luzair
5V,UKW,Lviv Airlines
,LYD,Lydd Air
,LCH,Lynch Flying Service
L2,LYC,Lynden Air Cargo
,LWG,Luxwing
Y9,DAT,Lynx Air
,LXF,Lynx Air International
L4,SSX,Lynx Aviation
,LYX,Lynx Aviation
Z8,AZN,Línea Aérea Amaszonas
MJ,LPR,Líneas Aéreas Privadas Argentinas
,LAU,Líneas Aéreas Suramericanas
,LYB,Lynden Air Cargo
,MMH,McMahon Helicopter
,HOG,Mahogany Air Charters
,MTS,Med Jets
,MSF,Minsheng International Jet
,MXS,Millon Express
,MHF,Maritime Helicopters
BF,MRK,MarkAir
WD,MWM,Modern Transporte Aereo De Carga
,MSJ,Magnum Air
,MWI,Malawian Airlines 2014
,MYP,Mann Yadanarpon Airlines
NR,MAV,Manta Air
,MLV,Multiservicios Aereos Del Valle
,MMJ,Macau Jet International
,MXF,Maximum Flight Advantages
OD,MXD,Malindo Airways
,MJC,Mandarin Air
,PLG,MBK-S
,DZR,Midwest Aviation
,MSN,Milenium Air Servicios Aereos Integrados
,MFB,Mountain Flyers 80
,JNH,M & N Aviation
,MCF,MAC Fotografica
,MRG,MANAG'AIR
AQ,MPJ,MAP-Management and Planung
,TFG,MAS Airways
M7,MAA,MasAir
MY,MWG,MASwings
IN,MAK,MAT Macedonian Airlines
,MCC,MCC Aviation
,MGA,MG Aviación
,JLA,MIA Airlines
OM,MGL,MIAT Mongolian Airlines
,MNC,MIT Airlines
,MKA,MK Airline
MB,MNB,MNG Airlines
,MCV,MTC Aviación
,MAQ,Mac Aviation
,MCN,Mac Dan Aviation Corporation
,MTD,MacKnight Airlines
CC,MCK,Macair Airlines
,MCS,Macedonian Airlines
,MDH,Madina Air
DM,DAN,Maersk Air
,MJB,Magic Blue Airlines
,MGR,Magna Air
,MLH,Mahalo Air
W5,IRM,Mahan Air
M2,MZS,Mahfooz Aviation
,MAT,Maine Aviation
,MAJ,Majestic Airlines
,AKM,Mak Air
,MLG,Malagasy Airlines
,MLX,Malawi Express
,MKK,Malaya Aviatsia Dona
MH,MAS,Malaysia Airlines
DB,MLT,Maleth-Aero
,MAE,Mali Air
,MTZ,Mali Airways
,MLC,Malila Airlift
,MLS,Mall Airways
,LOD,Malmoe Air Taxi
TF,SCW,Malmö Aviation
,MAY,Malta Air
,MWS,Malta Wings
MA,MAH,Malév Hungarian Airlines
,MLB,Manaf International Airways
RI,MDL,Mandala Airlines
AE,MDA,Mandarin Airlines
JE,MNO,Mango
,MHN,Manhattan Air
,MTO,Marathon Airlines
,MNR,Mann Air
,MAN,Mannion Air Charter
,MNX,Manx Airlines
,MAD,Maple Air Services
,MAR,March Helicopters
,MCP,Marcopolo Airways
,MGI,Marghi Air
,MKO,Markoss Aviation
6V,MRW,Mars RK
,MCE,Marshall Aerospace
M7,MSL,Marsland Aviation
,XMA,Martin Aviation Services
,MBE,Martin-Baker
MP,MPH,Martinair
,MRA,Martinaire
,MFA,Martyn Fiddler Associates
,MVN,Marvin Limited
,TRP,Maryland State Police
,MTH,Massachusetts Institute of Technology
,MSY,Massey University School of Aviation
,MSW,Master Airways
,MPL,Master Planner
,LMJ,Masterjet
,MIA,Mauria
,MNV,Mauritanienne Aerienne Et Navale
,MRF,Mauritanienne Air Fret
,MWY,Mauritanienne Airways
,MDE,Mauritanienne De Transport Aerien
,MVR,Maverick Airways
H5,MVL,Mavial Magadan Airlines
,MAI,Max Avia
,MAX,Max-Aviation
8M,MXL,Maxair
,MXU,Maximus Air Cargo
MY,MXJ,Maxjet Airways
,MXP,May Air Xpress
MW,MYD,Maya Island Air
7M,MYI,Mayair
,MBS,Mbach Air
,MCH,McAlpine Helicopters
,MKL,McCall Aviation
,DAC,McDonnell Douglas
,MDS,McNeely Charter Services
,MEK,Med-Trans of Florida
,MDM,Medavia
,MRZ,Medical Air Rescue Services
,MCL,Medical Aviation Services
,MDF,Mediterranean Air Freight
,MDY,Mediterranean Airways
,MEJ,Medjet International
,MGK,Mega
,MEL,Mega Linhas Aéreas
M8,MKN,Mekong Airlines
IM,MNJ,Menajet
,MXX,Merchant Express Aviation
,MEC,Mercury Aircourier Service
,POV,Meridian
,MRD,Meridian Air Cargo
,MHL,Meridian Airlines
,DSL,Meridian Aviation
,MEM,Meridian Limited
IG,ISS,Meridiana
,MEI,Merlin Airways
MZ,MNA,Merpati Nusantara Airlines
YV,ASH,Mesa Airlines
XJ,MES,Mesaba Airlines
,MSQ,Meta Linhas Aéreas
,MET,Meteorological Research Flight
,MER,Methow Aviation
,MVI,Metro Business Aviation
,MEX,Metro Express
,MTR,Metroflight
,MTJ,Metrojet
,PIX,Metropix UK
,MPS,Metropolis
,MXB,Mex Blue
,MJT,Mex-Jet
GJ,MXC,Mexicargo
,MXA,Mexicana de Aviación
,MXT,México Transportes Aéreos
,HUR,Miami Air Charter
LL,BSK,Miami Air International
,OWL,Miami Valley Aviation
,MPT,Miapet-Avia
,BIB,Michelin Air Services
,WIZ,Micromatter Technology Solutions
,NYL,Mid Airlines
,MPA,Mid-Pacific Airlines
,MJR,Midamerica Jet
ME,MEA,Middle East Airlines
,MID,Midland Airport Services
,MFR,Midline Air Freight
,MIS,Midstate Airlines
JI,MDW,Midway Airlines (1993–2003)
,FAX,Midwest Air Freighters
YX,MEP,Midwest Airlines
MY,MWA,Midwest Airlines (Egypt)
,NIT,Midwest Aviation
,MWT,Midwest Aviation Division
,HTE,Midwest Helicopters De Mexico
MJ,MLR,Mihin Lanka
,MAB,Millardair
,RJM,Millen Corporation
,MLK,Millennium Air
,DLK,Millennium Airlines
,MFS,Miller Flying Services
,OXO,Million Air
,MIM,Mimino
,NAB,Mina Airline Company
,OMR,Minair
,EBE,Minebea Technologies
,MAZ,Mines Air Services Zambia
,MNL,Miniliner
,MNS,Ministic Air
,WDG,"Ministry of Agriculture, Fisheries and Food"
,LIR,Minsk Aircraft Overhaul Plant
,MIC,Mint Airways
,MIR,Miramichi Air Service
,MIF,Miras
,MOS,Misr Overseas Airways
,MAF,Mission Aviation Fellowship
,MRN,Missions Gouvernemtales Francaises
,BDG,Mississippi State University
XV,MVA,Mississippi Valley Airlines
M4,MSA,Mistral Air
,MJF,MJET
,MBO,Mobil Oil
,MXE,Mocambique Expresso
,MFZ,Mofaz Air
,MOW,Mohawk Airlines
MW,MUL,Mokulele Airlines
,MLE,Moldaeroservice
2M,MDV,Moldavian Airlines
,MVG,Moldova
,RRV,Mombasa Air Safari
ZB,MON,Monarch Airlines
,MNH,Monarch Airlines
,MFC,Moncton Flying Club
,MDB,Monde Air Charters
,MTI,Monerrey Air Taxi
,MKY,Monky Aerotaxis
YM,MGX,Montenegro Airlines
5M,MNT,Montserrat Airways
,MNY,Mooney Aircraft Corporation
,MAL,Morningstar Air Express
,MSS,Morris Air Service
,MRO,Morrison Flying Service
3R,GAI,Moskovia Airlines
,MPI,Mosphil Aero
M9,MSI,Motor Sich Airlines
NM,NZM,Mount Cook Airline
,MTN,Mountain Air Cargo
N4,MTC,Mountain Air Company
,PKP,Mountain Air Express
,BRR,Mountain Air Service
,MBI,Mountain Bird
,MHA,Mountain High Aviation
,MPC,Mountain Pacific Air
,MTV,Mountain Valley Air Service
,MDN,Mudan Airlines
,CMJ,Mudanjiang General Aviation
,MTX,Multi Taxi
,WBR,Multi-Aero
,MFT,Multiflight
,MNZ,Murmansk Aircompany
,MUA,Murray Air
,MMR,Musrata Air Transport
,MAW,Mustique Airways
Z9,MYM,MYAirline
,MYW,MyWay Airlines
VZ,MYT,MyTravel Airways
UB,UBA,Myanma Airways
8M,MMA,Myanmar Airways International
,MYA,Myflug
,VKG,MyTravel Airways
M2,MHV,MHS Aviation GmbH
,MTU,Middle Tennessee State University
NP,NIA,Nile Air
,SIQ,National Center for Atmospheric Research
,NEJ,Netjets Business Aviation
,NHV,NHV Aviation
,NHC,Northern Helicopter
,DMD,Namdeb Diamond Corporation
6N,NIN,Niger Airlines
N5,FEY,Fly Easy
,NUB,Nomad Aviation
,NJA,New Japan Aviation
,ROW,Nor Aviation
,NLG,NEL Cargo
,NHG,NHT Linhas Aéreas
,WAR,NZ Warbirds Association
,ANL,Nacoia Lda
,NHZ,Nada Air Service
,BFN,Compangnie Nationale Naganagani
,NAH,Nahanni Air Services Ltd
,NKL,Nakheel Aviation
,MRE,Namibia Commercial Aviation
,NDF,Namibian Defence Force
,CNJ,Nanjing Airlines
DV,ACK,Nantucket Airlines
,NYA,Nanyah Aviation
,NAP,Napier Air Service Inc
,NCM,Nas Air
UE,NAS,Nasair
,NJC,Nashville Jet Charters
,NCO,Natalco Air Lines
,NTK,National Air Traffic Controllers Association
,NSR,National Air Charter
,RFI,National Air Traffic Services
,NAN,National Airlines
N4,NCN,National Airlines
N7,ROK,National Airlines
NA,NAL,National Airlines
N8,NCR,National Air Cargo dba National Airlines
9Y,NAE,National Airways Ethiopia
IN,NIH,NAM Air
,KUS,National Airlines
,LFI,National Airways Corporation
,GTY,National Aviation Company
,TNC,National Aviation Consultants
,NXT,National Express
,GRD,National Grid plc
NC*,JTE,National Jet Express
,AND,National Jet Service
NC*,NJS,National Jet Systems
,NOL,National Overseas Airlines Company
,NLS,Nationale Luchtvaartschool
CE,NTW,Nationwide Airlines
,NWZ,Nationwide Airlines (Zambia)
,EVM,Natural Environment Research Council
,NRR,Natureair
,NRK,Naturelink Charter
,NVC,Nav Canada
,NAV,Nav Flight Planning
,NVP,Navegacao Aérea De Portugal
,NAY,Navegación Servicios Aéreos Canarios S.A.
,IRI,Navid
,NVM,Naviera Mexicana
,NVL,Navigator Airlines
,XNV,Navinc Airlines Services
,XNS,Navtech System Support
,NZA,Nayzak Air Transport
,NEB,State of Nebraska
,NEC,Necon Air
,NCG,Nederlandse Kustwacht
,NFT,Nefteyugansk Aviation Division
,NLA,Neiltown Air
,NLC,Nelair Charters
,CGE,Nelson Aviation College
RA,RNA,Nepal Airlines
NO,NOS,Neos
,TOX,Neosiam Airways
,NSL,Neric
NE,NMA,Nesma Airlines
1I,EJA,NetJets
,NET,Network Aviation Services
,NEZ,New England Air Express
EJ,NEA,New England Airlines
,NHT,New Heights 291
,NWD,New World Jet Corporation
,NYH,New York Helicopter
,GRY,New York State Police
,KRC,Royal New Zealand Air Force
,HVA,Newair
,NLT,Newfoundland Labrador Air Transport
2N,NTJ,NextJet
,NXF,Nextflight Aviation
,NXS,Nexus Aviation
,NIS,Nicaragüense de Aviación
,NGA,Nigeria Airways
,NGR,Nigerian Air Force
,NGX,Nigerian Global
,EXT,Nightexpress
HG,NLY,Niki
,NKV,Nikolaev-Air
,NSA,Nile Safaris Aviation
,NLW,Nile Wings Aviation Services
,NBS,Nimbus Aviation
KZ,NCA,Nippon Cargo Airlines
,NVK,Nizhnevartovskavia
,NOH,No. 32 (The Royal) Squadron
,AKG,No. 84 Squadron RAF
,NBL,Nobil Air
DD,NOK,Nok Air
XW,NCT,NokScoot
N5,NRL,Nolinor Aviation
,NMD,Nomad Aviation
,OMD,Nomadic Aviation Group LLC
,NOC,Norcopter
,NEF,Nord-Flyg
5N,AUL,Nordavia
JH,NES,Nordeste Linhas Aéreas Regionais
6N,NRD,Nordic Regional
Y7,TYA,NordStar
,NDS,Nordstree (Australia)
N4,NWS,Nordwind Airlines
,NRT,Norestair
,NCF,Norfolk County Flight College
,FNA,Norlandair
,NOA,Norontair
,HMF,Norrlandsflyg
,NRX,Norse Air Charter
N0,NBT,Norse Atlantic Airways
Z0,UBT,Norse Atlantic UK
,NIR,Norsk Flytjeneste
,NOR,Norsk Helikopter
,DOC,Norsk Luftambulanse
,RTV,Nortavia
,NAI,North Adria Aviation
NA,NAO,North American Airlines
,HMR,North American Charters
,NAJ,North American Jet Charter Group
,NAT,North Atlantic Air Inc
,NFC,North Atlantic Cargo
,NBN,North British Airlines
,NCB,North Caribou Flying Service Ltd
N/A,N/A,North Coast Air Services Ltd
M3,NFA,North Flying
,NRC,North Sea Airways
,SBX,North Star Air Cargo
,NRV,North Vancouver Airlines
,NWW,North West Airlines
,PTO,North West Geomatics
